"SubjectNo","Activity","ave_tBodyAcc_mean_X","ave_tBodyAcc_mean_Y","ave_tBodyAcc_mean_Z","ave_tBodyAcc_std_Z"
"21","standing",0.27695224258427,-0.0167084730205618,-0.110417855808989,-0.981419961123596
"21","laying",0.271325472455556,-0.0184233048415556,-0.103253832233333,-0.955019866222222
"22","walking",0.27886459,-0.0167213607957174,-0.107112510934783,-0.00865921919565217
"22","walkingUpstairs",0.248391534566667,-0.0268622561133333,-0.117550861738095,0.0835738640921429
"22","walkingDownstairs",0.284458963861111,-0.0197999371686389,-0.1074157796,0.348618168333333
"22","sitting",0.273583822709677,-0.0123468446419355,-0.105827369516129,-0.978466823709677
"22","standing",0.279053861587302,-0.0158563207496825,-0.104967423820635,-0.985000527142857
"22","laying",0.279959721194444,-0.0142629864502778,-0.110800924652778,-0.947735251944444
"23","walking",0.273211884237288,-0.0183618711932203,-0.113382994084746,-0.313521773389831
"23","walkingUpstairs",0.249995171031373,-0.0323844029237255,-0.126890616782353,-0.243887818513725
"23","walkingDownstairs",0.289897411148148,-0.0162111457238889,-0.0988123712574074,0.0441392843425926
"23","sitting",0.273351251617647,-0.0133945015676471,-0.103808679294118,-0.987607636617647
"23","standing",0.277899323235294,-0.0177475547867647,-0.1105970177575,-0.985421519558824
"23","laying",0.274038007986111,-0.0216553835833333,-0.104256776291667,-0.956756363194444
"24","walking",0.276980816034483,-0.0225446400534483,-0.110595952913793,-0.47076236637931
"24","walkingUpstairs",0.269881106779661,-0.0251979434569492,-0.114248610966102,-0.344399351355932
"24","walkingDownstairs",0.288631208909091,-0.0145730348310909,-0.104818820272727,-0.08273248054
"24","sitting",0.273475690147059,-0.0131255097938235,-0.103041061426471,-0.990593766617647
"24","standing",0.280348883913043,-0.0144785340348986,-0.108222553855072,-0.98725587115942
"24","laying",0.272850494930556,-0.0173555210111111,-0.107236237236111,-0.967984021111111
"25","walking",0.278992759054054,-0.0186477624716216,-0.108737636297297,-0.596007443513514
"25","walkingUpstairs",0.277995411384615,-0.0269863524264615,-0.126210440292308,-0.459775646153846
"25","walkingDownstairs",0.291329666206897,-0.0210170522987931,-0.107192376965517,-0.253756934258621
"25","sitting",0.278541482461538,-0.0147696808030769,-0.109160440476923,-0.991892828615385
"25","standing",0.278013701621622,-0.0163569730274324,-0.107352957594595,-0.991970126756757
"25","laying",0.250791828613699,-0.0188943663671233,-0.100428830260274,-0.909116474109589
"26","walking",0.279264443728814,-0.0154259586949153,-0.108927011474576,-0.340185527559322
"26","walkingUpstairs",0.272691394545455,-0.0281633797398182,-0.121943461236364,-0.169006952418182
"26","walkingDownstairs",0.2792845828,-0.01262580966778,-0.1064396194,0.17395384962
"26","sitting",0.258243530166667,-0.00713364541358974,-0.0974448692333333,-0.979768987948718
"26","standing",0.281127035405405,-0.0166608306652703,-0.110237796416216,-0.993069368783784
"26","laying",0.271645864540789,-0.0191895728026316,-0.105002540289474,-0.969445445263158
"27","walking",0.276849485438596,-0.0166478783221912,-0.112822289263158,-0.348475560526316
"27","walkingUpstairs",0.265770253921569,-0.0200953324078431,-0.123530438196078,-0.295439547254902
"27","walkingDownstairs",0.2975441875,-0.0135564467159091,-0.112837694688636,0.167407531090909
"27","sitting",0.273941302571429,-0.0155269799285714,-0.105521912588571,-0.988580107714286
"27","standing",0.279566921625,-0.016593236445,-0.107835818025,-0.9919515835
"27","laying",0.274102492432432,-0.0179867611216216,-0.107699732837838,-0.978455153108108
"28","walking",0.281228223888889,-0.0156759722981481,-0.103714705396296,-0.293003522222222
"28","walkingUpstairs",0.262005841764706,-0.0279443943478431,-0.121514025692157,-0.242062430294118
"28","walkingDownstairs",0.293642076521739,-0.0220230465913043,-0.10858897408913,0.125712887943478
"28","sitting",0.276977629444444,-0.0185404441258333,-0.111517939555556,-0.983272806805556
"28","standing",0.277795069113924,-0.0172635124672152,-0.106579385202532,-0.977748638607595
"28","laying",0.2759134825,-0.0167537858225,-0.1083448529625,-0.9688882955
"29","walking",0.271999916792453,-0.0162915600588679,-0.106632427301887,-0.174337940226415
"29","walkingUpstairs",0.265423066877551,-0.0299465312326531,-0.118000587840816,-0.0867715569693878
"29","walkingDownstairs",0.293140441083333,-0.01494121505625,-0.0981339984895833,0.167383602458333
"29","sitting",0.2771799775,-0.016630680375,-0.1104118192,-0.9907450195
"29","standing",0.277965065846154,-0.0172605869061538,-0.108659067476923,-0.996068635384615
"29","laying",0.287295196811594,-0.0171965484202899,-0.109462068173913,-0.984219555507246
"30","walking",0.276406758,-0.0175880385730769,-0.0986247068969231,-0.346394275230769
"30","walkingUpstairs",0.271415642261538,-0.0253311698786154,-0.124697493775385,-0.350504475230769
"30","walkingDownstairs",0.283190646967742,-0.0174383900204839,-0.0999781422322581,-0.0577703163548387
"30","sitting",0.268336081379032,-0.00804731295322581,-0.099515446133871,-0.983622744193548
"30","standing",0.277112699152542,-0.0170163887813559,-0.108756209835593,-0.977559426949153
"30","laying",0.281033900571429,-0.0194494098614286,-0.1036581505,-0.976362515428571
